life_expectancy,ISO_A3
62.2592883749181,NA
56.5420091409513,NA
71.2495709689318,ARB
71.9474766813061,WLD
74.4962277379732,EAP
72.7071150561675,ECA
68.6419007195258,SAS
NA,AND
77.285,ARE
63.377,AFG
76.483,ATG
78.025,ALB
74.467,ARM
59.398,AGO
76.068,ARG
NA,ASM
81.190243902439,AUT
82.4,AUS
75.725,ABW
72.266,AZE
76.5718777647788,CEB
76.865,BIH
78.801,BRB
71.514,BGD
80.9926829268293,BEL
59.919,BFA
74.6146341463415,BGR
76.762,BHR
60.123,BDI
60.608,BEN
81.0121951219512,BMU
75.318,BRN
70.277,BOL
74.994,BRA
73.088,BHS
70.419,BTN
67.338,BWA
73.6243902439025,BLR
74.034,BLZ
81.9,CAN
59.254,COD
50.881,CAF
63.097,COG
82.8975609756098,CHE
56.065,CIV
79.646,CHL
57.583,CMR
75.928,CHN
76.531,COL
79.565,CRI
78.561,CUB
72.117,CPV
78.0756097560976,CUW
80.35,CYP
78.5780487804878,CZE
80.6414634146341,DEU
64.136,DJI
80.7024390243902,DNK
NA,DMA
73.241,DOM
76.09,DZA
76.143,ECU
77.590243902439,EST
71.302,EGY
64.664,ERI
82.8317073170732,ESP
65.048,ETH
80.5668071415956,EUU
60.5483795241049,FCS
81.4804878048781,FIN
67.103,FJI
67.315,FSM
81.8439024390244,FRO
82.3219512195122,FRA
64.913,GAB
80.9560975609756,GBR
72.445,GRD
72.973,GEO
62.772,GHA
NA,GIB
71.2463414634146,GRL
60.91,GMB
59.598,GIN
57.359,GNQ
81.0365853658537,GRC
73.25,GTM
79.144,GUM
56.959,GNB
69.262,GUY
84.2780487804878,HKG
74.495,HND
77.2756097560976,HRV
62.485,HTI
75.5682926829269,HUN
70.768,IDN
81.4536585365854,IRL
82.0512195121951,ISR
NA,IMN
68.607,IND
69.929,IRQ
75.796,IRN
82.4682926829268,ISL
82.5439024390244,ITA
82.429,CHI
74.098,JAM
74.078,JOR
83.7939024390244,JPN
64.798,KEN
70.6512195121951,KGZ
68.637,KHM
67.291,KIR
63.471,COM
NA,KNA
71.481,NA
82.0243902439024,KOR
75.13,KWT
NA,CYM
71.97,KAZ
66.546,LAO
78.768,LBN
75.596,LCA
82.6560975609756,LIE
76.316,LKA
62.269,LBR
51.038,LSO
74.3219512195122,LTU
82.2926829268293,LUX
74.4804878048781,LVA
72.121,LBY
75.726,MAR
NA,MCO
71.478,MDA
76.452,MNE
79.3219512195122,MAF
65.539,MDG
NA,MHL
75.406,MKD
57.509,MLI
65.81,MMR
69.111,MNG
83.707,MAC
NA,MNP
63.936,MRT
81.8975609756097,MLT
74.3531707317073,MUS
77.691,MDV
61.953,MWI
74.904,MEX
75.461,MYS
57.206,MOZ
62.119,NAM
77.2804878048781,NCL
60.631,NER
53.112,NGA
73.649,NIC
81.509756097561,NLD
82.3048780487805,NOR
69.515,NPL
NA,NRU
81.4568292682927,NZL
79.8112770574603,OED
76.887,OMN
77.776,PAN
75.792,PER
76.787,PYF
63.466,PNG
70.644,PHL
66.577,PAK
77.4512195121951,POL
79.353487804878,PRI
73.442,PSE
81.1243902439025,PRT
NA,PLW
73.662,PRY
79.758,QAT
74.9121951219512,ROU
75.2878048780488,SRB
71.1834146341463,RUS
67.45,RWA
68.6140155862827,SST
69.4444778564074,PSS
73.2730249020468,CSS
67.4052410693356,OSS
74.651,SAU
72.173,SLB
74.2951219512195,SYC
64.429,SDN
82.2048780487805,SWE
82.7439024390244,SGP
80.7756097560976,SVN
76.5634146341463,SVK
52.941,SLE
NA,SMR
66.747,SEN
55.92,SOM
71.249,SUR
56.855,SSD
69.377,STP
72.412,SLV
77.219512195122,SXM
69.908,SYR
55.359,SWZ
74.8665594523911,TLA
72.9950525408616,TMN
74.5339522517388,TEA
68.6419007195258,TSA
59.9528305717917,TSS
73.1480062157184,TEC
NA,TCA
53.137,TCD
59.927,TGO
76.091,THA
70.137,TJK
68.459,TLS
67.704,TKM
75.922,TUN
70.517,TON
76.532,TUR
72.941,TTO
NA,TUV
63.111,TZA
71.189512195122,UKR
61.373,UGA
78.690243902439,USA
77.369,URY
70.928,UZB
59.5119588731959,PRE
69.7485062321695,EAR
75.4709731462364,LTE
80.394831923308,PST
72.095,VCT
72.584,VEN
NA,VGB
79.0170731707317,VIR
75.11,VNM
69.869,VUT
72.73,WSM
81.5692290983944,EMU
80.4985192820744,HIC
61.8529528922159,HPC
72.6961955764925,IBD
63.2326805583382,IDA
61.2562787071839,IDB
64.2319290567546,IDX
74.7823124613778,LAC
71.4951219512195,XKX
63.947777333414,LDC
62.2353988306971,LIC
68.1100477337652,LMC
70.2977679916076,LMY
71.1435921924345,MIC
73.0002960434491,MNA
74.9646802389948,UMC
79.012114325868,NAC
NA,INX
66.085,YEM
75.3925946649761,EAS
77.240678024492,ECS
62.649,ZAF
59.9514844902919,SSA
59.9528305717917,NA
74.9616876443858,NA
61.737,ZMB
73.5148446917033,MEA
70.356212046473,IBT
59.534,ZWE
